de,a,ciudad,tipo
2019-04-25T18:37:00Z,2019-04-25T18:43:00Z,Europe/Madrid,Walking
2019-04-26T07:26:00Z,2019-04-26T07:38:00Z,Europe/Madrid,Running
2019-04-27T07:15:00Z,2019-04-27T08:15:00Z,Europe/Madrid,Pilates
2019-04-27T08:38:19Z,2019-04-27T08:51:30Z,Europe/Madrid,Running
2019-04-27T15:00:00Z,2019-04-27T15:16:00Z,Europe/Madrid,Walking
2019-04-27T16:10:00Z,2019-04-27T16:26:00Z,Europe/Madrid,Walking
2019-05-07T14:03:00Z,2019-05-07T14:11:00Z,Europe/Amsterdam,Walking
2019-05-07T19:16:00Z,2019-05-07T19:36:00Z,Europe/Amsterdam,Walking
2019-05-13T13:52:00Z,2019-05-13T13:56:00Z,Europe/Madrid,Walking
2019-05-14T07:21:00Z,2019-05-14T07:35:00Z,Europe/Madrid,Walking
2019-05-15T07:48:00Z,2019-05-15T08:01:00Z,Europe/Amsterdam,Running
2019-05-15T08:02:00Z,2019-05-15T08:15:00Z,Europe/Amsterdam,Walking
2019-05-17T17:21:00Z,2019-05-17T17:32:00Z,Europe/Madrid,Walking
2019-05-18T10:42:00Z,2019-05-18T10:47:00Z,Europe/Amsterdam,Running
2019-05-18T10:48:00Z,2019-05-18T11:00:00Z,Europe/Amsterdam,Walking
2019-05-19T07:34:00Z,2019-05-19T07:45:00Z,Europe/Amsterdam,Running
2019-05-19T07:46:00Z,2019-05-19T08:05:00Z,Europe/Amsterdam,Walking
2019-05-20T07:43:00Z,2019-05-20T08:02:00Z,Europe/Amsterdam,Running
2019-05-21T08:00:00Z,2019-05-21T08:08:00Z,Europe/Amsterdam,Walking
2019-05-22T07:20:00Z,2019-05-22T07:43:00Z,Europe/Amsterdam,Walking
2019-05-22T13:40:00Z,2019-05-22T14:03:00Z,Europe/Amsterdam,Walking
2019-05-23T08:18:00Z,2019-05-23T08:44:00Z,Europe/Amsterdam,Walking
2019-05-23T13:48:00Z,2019-05-23T14:15:00Z,Europe/Amsterdam,Walking
2019-05-24T08:03:00Z,2019-05-24T08:13:00Z,Europe/Amsterdam,Running
2019-05-24T22:15:00Z,2019-05-24T22:19:00Z,Europe/Amsterdam,Walking
2019-05-26T08:33:00Z,2019-05-26T09:09:00Z,Europe/Amsterdam,Walking
2019-06-07T08:01:00Z,2019-06-07T09:15:00Z,Europe/Madrid,Other
2019-06-09T11:09:00Z,2019-06-09T11:54:00Z,Europe/Madrid,Other
2019-06-09T12:24:00Z,2019-06-09T12:38:00Z,Europe/Madrid,Walking
2019-06-09T16:50:00Z,2019-06-09T18:11:00Z,Europe/Madrid,Other
2019-06-10T06:32:00Z,2019-06-10T06:43:00Z,Europe/Madrid,Walking
2019-06-10T13:49:00Z,2019-06-10T14:02:00Z,Europe/Madrid,Walking
2019-06-10T14:12:00Z,2019-06-10T14:24:00Z,Europe/Madrid,Walking
2019-06-10T14:48:00Z,2019-06-10T15:04:00Z,Europe/Madrid,Walking
2019-06-10T17:34:00Z,2019-06-10T17:49:00Z,Europe/Madrid,Walking
2019-06-11T16:53:00Z,2019-06-11T16:57:00Z,Europe/Madrid,Walking
2019-06-12T12:53:00Z,2019-06-12T13:03:00Z,Europe/Madrid,Walking
2019-06-12T13:53:00Z,2019-06-12T14:00:00Z,Europe/Madrid,Walking
2019-06-12T17:42:00Z,2019-06-12T18:01:00Z,Europe/Madrid,Other
2019-06-17T16:46:00Z,2019-06-17T16:59:00Z,Europe/Madrid,Walking
2019-06-18T13:07:00Z,2019-06-18T13:22:00Z,Europe/Madrid,Walking
2019-06-19T18:05:00Z,2019-06-19T19:07:00Z,Europe/Madrid,Tennis
2019-06-20T14:54:00Z,2019-06-20T15:00:00Z,Europe/Madrid,Walking
2019-06-20T15:24:00Z,2019-06-20T15:29:00Z,Europe/Madrid,Running
2019-06-20T16:45:00Z,2019-06-20T16:58:00Z,Europe/Madrid,Walking
2019-06-20T18:12:00Z,2019-06-20T18:22:00Z,Europe/Madrid,Running
2019-06-23T10:24:00Z,2019-06-23T11:13:00Z,Europe/Madrid,Other
2019-06-24T13:15:00Z,2019-06-24T13:30:00Z,Europe/Madrid,Swimming
2019-06-24T16:45:00Z,2019-06-24T17:15:00Z,Europe/Madrid,Walking
2019-06-27T15:12:00Z,2019-06-27T15:20:00Z,Europe/Madrid,Walking
2019-06-28T06:20:00Z,2019-06-28T06:30:00Z,Europe/Madrid,Walking
2019-07-17T18:16:00Z,2019-07-17T18:24:00Z,Europe/Amsterdam,Walking
2019-07-17T18:30:00Z,2019-07-17T18:44:00Z,Europe/Amsterdam,Walking
2019-07-17T19:14:00Z,2019-07-17T19:27:00Z,Europe/Amsterdam,Walking
2019-07-17T19:59:00Z,2019-07-17T20:21:00Z,Europe/Amsterdam,Walking
2019-07-18T06:11:00Z,2019-07-18T06:15:00Z,Europe/Amsterdam,Walking
2019-07-21T09:02:00Z,2019-07-21T09:19:00Z,Europe/Amsterdam,Running
2019-07-23T08:38:00Z,2019-07-23T08:56:00Z,Europe/Amsterdam,Running
2019-07-24T07:43:00Z,2019-07-24T07:55:00Z,Europe/Amsterdam,Walking
2019-07-24T18:37:00Z,2019-07-24T18:55:00Z,Europe/Amsterdam,Walking
2019-07-26T10:41:00Z,2019-07-26T10:53:00Z,Europe/Amsterdam,Walking
2019-07-26T10:54:00Z,2019-07-26T11:01:00Z,Europe/Amsterdam,Running
2019-07-26T12:00:00Z,2019-07-26T12:40:00Z,Europe/Amsterdam,Cycling
2019-07-29T09:27:00Z,2019-07-29T09:37:00Z,Europe/Amsterdam,Walking
2019-08-10T19:38:00Z,2019-08-10T19:55:00Z,Europe/Madrid,Walking
2019-08-10T20:28:00Z,2019-08-10T20:45:00Z,Europe/Madrid,Walking
2019-08-12T15:40:06Z,2019-08-12T15:58:14Z,Europe/Madrid,Swimming
2019-08-13T16:13:16Z,2019-08-13T16:26:35Z,Europe/Madrid,Swimming
2019-08-14T20:37:00Z,2019-08-14T20:55:00Z,Europe/Amsterdam,Walking
2019-08-15T19:41:00Z,2019-08-15T19:58:00Z,Europe/Amsterdam,Walking
2019-08-16T07:15:00Z,2019-08-16T07:19:00Z,Europe/Amsterdam,Walking
2019-08-16T07:20:00Z,2019-08-16T07:25:00Z,Europe/Amsterdam,Running
2019-08-19T10:24:00Z,2019-08-19T10:33:00Z,Europe/Amsterdam,Walking
2019-08-19T13:52:00Z,2019-08-19T14:19:00Z,Europe/Amsterdam,Walking
2019-08-20T19:43:00Z,2019-08-20T19:48:00Z,Europe/Amsterdam,Walking
2019-08-21T14:16:00Z,2019-08-21T14:24:00Z,Europe/Amsterdam,Walking
2019-08-21T15:02:00Z,2019-08-21T15:13:00Z,Europe/Amsterdam,Walking
2019-08-22T09:21:00Z,2019-08-22T09:38:00Z,Europe/Amsterdam,Walking
2019-08-22T14:25:00Z,2019-08-22T14:44:00Z,Europe/Amsterdam,Walking
2019-08-23T19:29:00Z,2019-08-23T19:49:00Z,Europe/Amsterdam,Walking
2019-08-26T09:22:00Z,2019-08-26T09:54:00Z,Europe/Amsterdam,Walking
2019-08-26T13:15:00Z,2019-08-26T13:31:00Z,Europe/Amsterdam,Walking
2019-08-27T08:11:00Z,2019-08-27T08:23:00Z,Europe/Amsterdam,Running
2019-08-29T20:36:00Z,2019-08-29T21:06:00Z,Europe/Amsterdam,Walking
2019-08-30T07:23:00Z,2019-08-30T07:27:00Z,Europe/Amsterdam,Walking
2019-08-30T07:28:00Z,2019-08-30T07:43:00Z,Europe/Amsterdam,Running
2019-08-30T08:52:00Z,2019-08-30T09:14:00Z,Europe/Amsterdam,Walking
2019-08-30T13:16:00Z,2019-08-30T13:21:00Z,Europe/Amsterdam,Walking
2019-08-30T13:27:00Z,2019-08-30T13:31:00Z,Europe/Amsterdam,Walking
2019-08-30T13:45:00Z,2019-08-30T14:12:00Z,Europe/Amsterdam,Walking
2019-09-01T09:09:00Z,2019-09-01T09:14:00Z,Europe/Amsterdam,Walking
2019-09-01T09:15:00Z,2019-09-01T09:19:00Z,Europe/Amsterdam,Running
2019-09-02T08:04:00Z,2019-09-02T08:23:00Z,Europe/Amsterdam,Running
2019-09-03T09:22:00Z,2019-09-03T09:38:00Z,Europe/Amsterdam,Walking
